date,machine,Shaft Speed of Motor (RPM),point,BPFO (Y9),BPFI (Y10),FTF (Y11),BSF (Y12),Severity of bearing defect (Y13),RMS,Peak,Kurtosis,Skewness,Crest_Factor
12/10/2025,0520P03,1340,M1H,1,3,1,1,3,1.335491890493527,3.209,2.145777275224061,-0.013461048160560629,2.4028599670598703
12/10/2025,0520P03,1340,M1V,1,3,1,1,3,2.209911626693015,6.562,3.043939880828212,-0.005451433061204935,2.9693495073464065
12/10/2025,0520P03,1340,M2H,1,1,1,1,1,0.2575062124245857,0.956,3.5973779317278787,-0.031637717537921425,3.712531790975637
12/10/2025,0520P03,1340,M2A,1,1,1,1,1,0.9515520642624854,2.366,2.4411598243280443,-0.0024147709485976034,2.486464050533907
12/10/2025,0520P03,1340,P1H,1,1,1,1,1,359.29952796886005,1586.9,12.318842668981924,3.2146852336585843,4.416649275802929
12/10/2025,0520P03,1340,P2H,1,1,1,1,1,0.24318627647278385,0.915,3.069170966664278,0.014328953695709069,3.762547843041637
12/10/2025,0520P03,1340,P2V,1,1,1,1,1,527.4277115865854,1599.8,4.854744725680698,1.8119085882245032,3.033211878813782
12/10/2025,0520P03,1340,P2A,1,1,1,1,1,566.8983543224927,1599.8,3.9959587804566743,1.5698624717074852,2.82202265679875
10/30/2025,0520P03,1340,M1H,1,3,1,1,3,1.4979769508762295,4.115,2.747618483963685,-0.02045017733931734,2.747038262232916
10/30/2025,0520P03,1340,M1V,1,3,1,1,3,1.4518602400164167,4.281,3.0397716270195194,-0.003507727372559617,2.9486309232847323
10/30/2025,0520P03,1340,M2H,1,1,1,1,1,595.6817915127124,1599.8,3.4876247234234397,1.4061910313831374,2.6856620813225893
10/30/2025,0520P03,1340,M2A,1,1,1,1,1,462.1520274721898,1388.1,4.787599302397131,1.7993776676044202,3.003557092657198
10/30/2025,0520P03,1340,P1H,1,1,1,1,1,0.2302618266713384,1.011,3.1971558861958154,-0.028042029172600135,4.390653955173557
10/30/2025,0520P03,1340,P2H,1,1,1,1,1,855.9403361306477,1599.8,1.6676493657137101,0.18039987746746933,1.8690555082753013
10/30/2025,0520P03,1340,P2V,1,1,1,1,1,0.34417007899104923,1.399,3.0476350118291315,-0.0037023042427815427,4.064850739207877
10/30/2025,0520P03,1340,P2A,1,1,1,1,1,264.62608562262864,1599.8,23.83205048055779,4.597873223517392,6.045511334364076
6/25/2025,0520P03,1475,M1H,1,3,1,1,3,4.022591470030175,10.75,2.446688085364459,0.0010385479975597326,2.672406601587946
6/25/2025,0520P03,1475,M1V,1,3,1,1,3,3.1383034237436633,8.787,2.785087009627844,0.0002026462581434778,2.7999204708887073
6/25/2025,0520P03,1475,M2H,1,1,1,1,1,0.6206917570780907,1.628,2.199414185725885,-0.005030737083348898,2.622880006758616
6/25/2025,0520P03,1475,M2A,1,1,1,1,1,0.7178117828405416,1.878,2.570328924039451,-0.00254521349183479,2.6162847210007256
6/25/2025,0520P03,1475,P1H,1,1,1,1,1,499.10577395307797,1367.2,3.70676692887627,1.48628115396623,2.7392991052203968
6/25/2025,0520P03,1475,P2H,1,1,1,1,1,450.0738431700269,1579.7,7.039317924469021,2.3128681621870286,3.509868489298606
6/25/2025,0520P03,1475,P2V,1,1,1,1,1,911.5582767323643,1599.8,1.7790318619186667,0.0098491428770737,1.7550167014387221
5/28/2025,2200P039,2934,M1H,1,1,1,1,1,484.9762574122151,1464.1,4.598476360845215,1.7447941014749109,3.018910673714815
5/28/2025,2200P039,2934,M1V,1,1,1,1,1,64.01928372448272,1324.2,329.5131612423434,17.61747891335937,20.684392622993215
5/28/2025,2200P039,2934,M2H,1,1,1,1,1,810.463987197049,1599.8,1.6941740175348712,0.3651301146607404,1.973931013927999
5/28/2025,2200P039,2934,M2V,1,1,1,1,1,754.7857871810949,1560.0,1.77856685736803,0.47469733345492865,2.0668115728916225
5/28/2025,2200P039,2934,M2A,1,1,1,1,1,701.6882900622256,1599.8,1.9901817119211842,0.6757902724040499,2.279929738970177
5/28/2025,2200P039,2934,P1H,1,1,1,3,3,0.7007900967155151,2.774,3.0087082246152668,-0.01496859484466255,3.9583892709118893
5/28/2025,2200P039,2934,P1V,1,1,1,3,3,0.6265949756273548,2.613,2.869418645649271,-0.009062215481475991,4.170157919609603
5/28/2025,2200P039,2934,P2H,1,1,1,1,1,238.051091132515,1505.9,27.631576039221844,4.975346284345806,6.3259529407563875
5/28/2025,2200P039,2934,P2V,1,1,1,1,1,0.44543854343395395,1.738,2.8789742252823696,-0.07139096780953558,3.901772816069063
5/28/2025,2200P039,2934,P2A,1,1,1,1,1,747.0655184641261,1599.8,1.8736692748081532,0.5848487788427268,2.1414453758874994
